policy_id,policyholder_name,street_number,street_name,unit,city,state,zip,injected_error
POL-000001,Noah Rhodes,3446,IRIS CT,Apt. 043,Boulder,CO,80304,clean
POL-000002,Daniel Wagner,1831,BRACKLAND ST,Apt. 960,Jacksonville,FL,32206,clean
POL-000003,Cristian Santos,3705,CANFIELD ST,,Boulder,CO,80301,clean
POL-000004,Connie Lawrence,65,BANNOCK ST,,Denver,CO,80223,misspelling
POL-000005,Abigail Shaffer,1415,TATF AVE,,Clearwater,FL,33755,misspelling
POL-000006,Gina Moore,518,PARKVIEW CT,,Golden,CO,80403,clean
POL-000007,Gabrielle Davis,221,TURNER ST,,Clearwater,FL,33756,missing_unit
POL-000008,Ryan Munoz,544,N BUMBY AVE,,Orlando,FL,32803,missing_unit
POL-000009,Jamie Arnold,516,E GRAND AVE,,Des Moines,IA,50309,missing_unit
POL-000010,Darren Roberts,327,CILNTON ST,Suite 931,Brooklyn,NY,11231,misspelling
POL-000011,David Garcia,1200,BRICKELL AVE,,Miami,FL,33131,clean
POL-000012,Daniel Adams,58217,W 12TH ST,Suite 752,New York,NY,10011,outdated_address
POL-000013,Carla Gray,1150,NW 8TH STREET RD,,Miami,FL,33136,missing_unit
POL-000014,Margaret Hawkins DDS,1940,BLAKE ST,,Denver,CO,80202,clean
POL-000015,Austin Gentry,810,W 2ND VAE,Apt. 305,Denver,CO,80223,misspelling
POL-000016,Michelle Lewis,811,CLEVELAND ST,,Clearwater,FL,33755,clean
POL-000017,Dr. Marvin Thomas Jr.,1415,TAFT AVE,,Plant City,FL,33755,zip_city_mismatch
POL-000018,Kimberly Burgess,1020,15TH ST,,Denver,CO,80202,missing_unit
POL-000019,Zachary Hicks,239,SW 9TH ST,,Miami,FL,33130,missing_unit
POL-000020,Anthony Rodriguez,970,AURORA AVE,,Boulder,CO,80302,clean
POL-000021,Rebecca Henderson,222,SPARTA MT RD,,Oak Ridge,NJ,07438,missing_unit
POL-000022,Kendra Maddox DVM,411,LAUREL ST,Apt. 669,Des Moines,IA,50314,clean
POL-000023,Nathan Maldonado,3446,IRIS CT,,Boulder,CO,80304,missing_unit
POL-000024,Debra Davidson,55,SE 6TH ST,,Miami,FL,33131,clean
POL-000025,Jeffrey Chavez,811,CLEVELAND ST,,Clearwater,FL,33755,clean
POL-000026,Sheila Evans,1507,W REYNOLDS ST,,Plant City,FL,33563,missing_unit
POL-000027,Lisa Hernandez,2261,BLAKE ST,,Golden,CO,80205,zip_city_mismatch
POL-000028,Kimberly Osborne,141,ALEXANDER WOODS DR,,Plant City,FL,33563,clean
POL-000029,Timothy Koch,63,CANAL ST,,Landing,NJ,07850,missing_unit
POL-000030,Elizabeth Brown,3327,NE RENAISSANCE DR,,Ankeny,IA,50021,clean
POL-000031,Theresa Miller,2270,BELL AVE,,Ankeny,IA,50321,zip_city_mismatch
POL-000032,Mr. Philip Cannon,172,DRATMOUTH TRL,,Hopatcong,NJ,07843,misspelling
POL-000033,Shane Henderson,518,LAKESIDE AVE,,Andover,NJ,07821,missing_unit
POL-000034,Joshua Blair,970,AUROAR AVE,,Boulder,CO,80302,misspelling
POL-000035,Eric Carney,1109,W 13TH AVE,,Denver,CO,80204,clean
POL-000036,Jessica Holmes,407,SE DELAWARE VAE,,Ankeny,IA,50021,misspelling
POL-000037,Danny Morgan,2,BILLINGS RD,,Hopatcong,NJ,07843,clean
POL-000038,Crystal Robinson,1336,CLEVELAND ST,,Orlando,FL,32209,zip_city_mismatch
POL-000039,Shannon Jones,707,19T HST,Apt. 031,Des Moines,IA,50314,misspelling
POL-000040,Michael Lewis,1136,NE 7TH LN,,Ankeny,IA,50021,clean
POL-000041,Timothy Duncan,147,BELL AVE,,Hopatcong,NJ,07843,missing_unit
POL-000042,Richard Aguirre,3446,IRIS CT,,Boulder,CO,80304,missing_unit
POL-000043,Brent Jordan,150,SE 2ND AVE,,Miami,FL,33131,clean
POL-000044,John Daniel,279,WATER ST,,New York,NY,10038,clean
POL-000045,Ashley Lee,1112,E 4HT AVE,Apt. 065,Denver,CO,80218,misspelling
POL-000046,Brenda White,175,COLUMBIA HTS,,Brooklyn,NY,11201,missing_unit
POL-000047,Shannon Jones,1501,S FORT HARRISON AVE,,Clearwater,FL,33756,clean
POL-000048,Savannah Garcia,11,DEER TRL,,Hopatcong,NJ,07843,clean
POL-000049,Kimberly Smith,215,ADAM SST,,Brooklyn,NY,11201,misspelling
POL-000050,Mr. James Brown,405,SW 3RD ST,Apt. 326,Ankeny,IA,50023,clean
POL-000051,William Baker,1012,E 4TH AVE,,Denver,CO,80218,missing_unit
POL-000052,Jordan Henderson,2410,SW WHITE BIRCH DR,,Ankeny,IA,50023,clean
POL-000053,Anthony Fitzgerald,722,WASHINGTON AVE,Suite 234,Golden,CO,80401,clean
POL-000054,Kathryn Farrell,2041,COLUMBINE AVE,Apt. 500,Boulder,CO,80302,clean
POL-000055,Andrea Jones,945,19TH ST,,Des Moines,IA,50314,missing_unit
POL-000056,Kristopher Harvey,524,NW 11TH ST,Apt. 619,Miami,FL,33136,clean
POL-000057,Dean Santiago,1400,1T6H ST,Suite 998,Denver,CO,80202,misspelling
POL-000058,Matthew Bryant,811,CLEVELNAD ST,Suite 346,Clearwater,FL,33755,misspelling
POL-000059,Taylor Smith,2007,S COUNTRYSIDE CIR,,Orlando,FL,32804,missing_unit
POL-000060,Brandi Bailey,209,5THS T,Apt. 183,West Des Moines,IA,50265,misspelling
POL-000061,David Mitchell,810,W 2ND AVE,,Denver,CO,80223,clean
POL-000062,Joshua Turner,37,W 12THS T,,New York,NY,10011,misspelling
POL-000063,Brandy Wilson,97899,COLUMBUS AVE,Apt. 841,Des Moines,IA,50315,outdated_address
POL-000064,Juan Nelson,363,N ORANGE AVE,,Orlando,FL,32801,clean
POL-000065,Danielle Odonnell,13,WABASH TRL,Apt. 534,Andover,NJ,07821,clean
POL-000066,Mark Calderon,504,GRAND ST,,New York,NY,10002,missing_unit
POL-000067,Gavin Anderson,301,S GLUFVIEW BLVD,,Clearwater,FL,33767,misspelling
POL-000068,Candice Ramos,1816,TYLER ST,,Jacksonville,FL,32209,clean
POL-000069,Kristina Rodriguez,128,LAKESIDE BLVD,,Hopatcong,NJ,07843,clean
POL-000070,Brittany Anderson,405,SW 3RD ST,Apt. 805,Ankeny,IA,50023,clean
POL-000071,Steven Flynn,2410,SW WHITE BIRCH DR,,Ankeny,IA,50023,clean
POL-000072,Stephanie Clark,1407,WASHINGTON AVE,,Golden,CO,80401,missing_unit
POL-000073,Brian Deleon,209,5TH ST,,West Des Moines,IA,50265,clean
POL-000074,Vanessa Cochran,1400,N ORANGE BLOSOSM TRL,Suite 923,Orlando,FL,32804,misspelling
POL-000075,Allison Doyle,2114,BLUE AVE,,Jacksonville,FL,32209,clean
POL-000076,Timothy Pham,343,E CHURCH ST,,Jacksonville,FL,32202,clean
POL-000077,Rita Adams,50,W 9TH ST,,New York,NY,10011,clean
POL-000078,Robert Stevens,1068,WELDON RD,,Oak Ridge,NJ,07438,missing_unit
POL-000079,Robert Perez,1007,W GORE ST,,Orlando,FL,32805,clean
POL-000080,Benjamin Ayala,2500,JACKOSN ST,Apt. 365,Golden,CO,80401,misspelling
POL-000081,Jordan Frazier,1136,NE 7TH LN,,Ankeny,IA,50021,clean
POL-000082,Erin Johnson,1007,W OGRE ST,,Orlando,FL,32805,misspelling
POL-000083,Debbie Carpenter,784,E MICHIGAN ST,,Orlando,FL,32806,clean
POL-000084,Mrs. Linda Reed,1456,LAKEVIEW RD,,Clearwater,FL,33756,clean
POL-000085,Steven Lee,2261,BLAKE ST,Suite 698,Denver,CO,80205,clean
POL-000086,Kimberly Ball,1745,BOULDER ST,Apt. 608,Denver,CO,80211,clean
POL-000087,Megan Diaz,891,14TH ST,,Denver,CO,80202,clean
POL-000088,Matthew Rivera,24,AVALON ST,,Orlando,FL,33767,zip_city_mismatch
POL-000089,Jason Powell,141,ALEXANDER WOODS DR,Suite 148,Plant City,FL,33563,clean
POL-000090,Todd Byrd,519,17TH ST,Suite 823,Des Moines,IA,50309,clean
POL-000091,Roy Torres,2007,S COUNTRYSIDE CIR,Apt. 994,Orlando,FL,32804,clean
POL-000092,Richard Lawson,891,14HT ST,,Denver,CO,80202,misspelling
POL-000093,Kayla Leon,350,NW GEORGETOWN BLVD,Suite 777,Ankeny,IA,50023,clean
POL-000094,Nancy Hopkins,784,E MICHIGAN ST,,Jacksonville,FL,32806,zip_city_mismatch
POL-000095,Matthew Harvey,616,SE 10TH ST,,Des Moines,IA,50309,clean
POL-000096,Trevor Young,465,ELATI ST,,Denver,CO,80204,clean
POL-000097,David Alvarez,116,SE LORENZ DR,Suite 332,Ankeny,IA,50021,clean
POL-000098,Angel Perry,1912,BRAKCLAND ST,,Jacksonville,FL,32206,misspelling
POL-000099,Matthew Smith,2114,BLUE VAE,Apt. 676,Jacksonville,FL,32209,misspelling
POL-000100,Melissa Marshall,1068,WELDON RD,Apt. 632,Oak Ridge,NJ,07438,clean
POL-000101,Mary Travis,518,PARKVIEW CT,Apt. 172,Golden,CO,80403,clean
POL-000102,Tiffany Vance,2114,BLUE AVE,,Jacksonville,FL,32209,missing_unit
POL-000103,Karen Green,68495,N ORANGE AVE,Suite 872,Orlando,FL,32801,outdated_address
POL-000104,Denise Jones,900,OAK ST,Apt. 487,Orlando,FL,32804,clean
POL-000105,Devon Flores,3446,IRIS CT,,Boulder,CO,80304,missing_unit
POL-000106,Brenda Hall,51144,28TH ST,,Des Moines,IA,50312,outdated_address
POL-000107,Joshua Perry,518,LAKESIDE AVE,Apt. 316,Andover,NJ,07821,clean
POL-000108,Jason Stein,91,WELDON RD,,Lake Hopatcong,NJ,07849,clean
POL-000109,Melissa Gates,55701,INCA ST,,Denver,CO,80202,outdated_address
POL-000110,James Snow,3416,MONCRIEF RD,Suite 705,Jacksonville,FL,32209,clean
POL-000111,Kimberly Navarro,888,N ORANGE AVE,,Orlando,FL,32801,missing_unit
POL-000112,Stephanie Freeman,1351,W 5TH ST,,Plant City,FL,32209,zip_city_mismatch
POL-000113,John Price,1745,BOULDER ST,,Denver,CO,80211,clean
POL-000114,Rebecca Ramsey,1456,LAKEVIEW RD,,Clearwater,FL,33756,clean
POL-000115,James Elliott,61876,ASHLAND PL,Suite 298,Brooklyn,NY,11201,outdated_address
